| Epoch: 001 | Train Loss: 0.666 | Val. Loss: 0.333 | Val. Accuracy:  89.730 | offline updates:  12.342 | online udpates:  87.658 |
| Epoch: 002 | Train Loss: 0.295 | Val. Loss: 0.250 | Val. Accuracy:  92.330 | offline updates:   5.779 | online udpates:  94.221 |
| Epoch: 003 | Train Loss: 0.221 | Val. Loss: 0.187 | Val. Accuracy:  94.300 | offline updates:  10.378 | online udpates:  89.622 |
| Epoch: 004 | Train Loss: 0.175 | Val. Loss: 0.188 | Val. Accuracy:  94.030 | offline updates:   9.406 | online udpates:  90.594 |
| Epoch: 005 | Train Loss: 0.153 | Val. Loss: 0.144 | Val. Accuracy:  95.550 | offline updates:   5.452 | online udpates:  94.548 |
| Epoch: 006 | Train Loss: 0.137 | Val. Loss: 0.120 | Val. Accuracy:  96.140 | offline updates:  15.596 | online udpates:  84.404 |
| Epoch: 007 | Train Loss: 0.124 | Val. Loss: 0.133 | Val. Accuracy:  95.920 | offline updates:   8.522 | online udpates:  91.478 |
| Epoch: 008 | Train Loss: 0.114 | Val. Loss: 0.125 | Val. Accuracy:  96.310 | offline updates:  10.823 | online udpates:  89.177 |
| Epoch: 009 | Train Loss: 0.107 | Val. Loss: 0.117 | Val. Accuracy:  96.570 | offline updates:   6.224 | online udpates:  93.776 |
| Epoch: 010 | Train Loss: 0.100 | Val. Loss: 0.145 | Val. Accuracy:  95.820 | offline updates:   9.579 | online udpates:  90.421 |
| Epoch: 011 | Train Loss: 0.095 | Val. Loss: 0.137 | Val. Accuracy:  96.000 | offline updates:   8.194 | online udpates:  91.806 |
| Epoch: 012 | Train Loss: 0.089 | Val. Loss: 0.135 | Val. Accuracy:  96.070 | offline updates:  10.754 | online udpates:  89.246 |
| Epoch: 013 | Train Loss: 0.085 | Val. Loss: 0.141 | Val. Accuracy:  96.140 | offline updates:   4.529 | online udpates:  95.471 |
| Epoch: 014 | Train Loss: 0.083 | Val. Loss: 0.125 | Val. Accuracy:  96.630 | offline updates:   5.249 | online udpates:  94.751 |
| Epoch: 015 | Train Loss: 0.079 | Val. Loss: 0.151 | Val. Accuracy:  96.020 | offline updates:   8.535 | online udpates:  91.465 |
| Epoch: 016 | Train Loss: 0.076 | Val. Loss: 0.147 | Val. Accuracy:  96.230 | offline updates:   8.250 | online udpates:  91.750 |
| Epoch: 017 | Train Loss: 0.074 | Val. Loss: 0.153 | Val. Accuracy:  95.980 | offline updates:   5.325 | online udpates:  94.675 |
| Epoch: 018 | Train Loss: 0.073 | Val. Loss: 0.145 | Val. Accuracy:  96.270 | offline updates:   5.800 | online udpates:  94.200 |
| Epoch: 019 | Train Loss: 0.070 | Val. Loss: 0.139 | Val. Accuracy:  96.610 | offline updates:   5.535 | online udpates:  94.465 |
| Epoch: 020 | Train Loss: 0.069 | Val. Loss: 0.151 | Val. Accuracy:  96.230 | offline updates:   7.529 | online udpates:  92.471 |
| Epoch: 021 | Train Loss: 0.066 | Val. Loss: 0.172 | Val. Accuracy:  95.950 | offline updates:   3.745 | online udpates:  96.255 |
| Epoch: 022 | Train Loss: 0.064 | Val. Loss: 0.178 | Val. Accuracy:  96.070 | offline updates:   4.127 | online udpates:  95.873 |
| Epoch: 023 | Train Loss: 0.063 | Val. Loss: 0.154 | Val. Accuracy:  96.450 | offline updates:   5.299 | online udpates:  94.701 |
| Epoch: 024 | Train Loss: 0.062 | Val. Loss: 0.152 | Val. Accuracy:  96.650 | offline updates:   6.299 | online udpates:  93.701 |
| Epoch: 025 | Train Loss: 0.059 | Val. Loss: 0.169 | Val. Accuracy:  96.260 | offline updates:   5.388 | online udpates:  94.612 |
