| Epoch: 001 | Train Loss: 21.636 | Val. Loss: 27.286 | Val. Accuracy:   9.820 | offline updates:   5.970 | online udpates:  94.030 |
| Epoch: 002 | Train Loss: 22.831 | Val. Loss: 22.405 | Val. Accuracy:  10.320 | offline updates:   9.736 | online udpates:  90.264 |
| Epoch: 003 | Train Loss: 22.421 | Val. Loss: 22.281 | Val. Accuracy:  10.090 | offline updates:   4.944 | online udpates:  95.056 |
| Epoch: 004 | Train Loss: 22.965 | Val. Loss: 20.757 | Val. Accuracy:   9.740 | offline updates:   8.103 | online udpates:  91.897 |
| Epoch: 005 | Train Loss: 23.105 | Val. Loss: 23.381 | Val. Accuracy:   8.920 | offline updates:  35.132 | online udpates:  64.868 |
| Epoch: 006 | Train Loss: 22.959 | Val. Loss: 26.583 | Val. Accuracy:   9.820 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 007 | Train Loss: 23.091 | Val. Loss: 17.876 | Val. Accuracy:  10.320 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 008 | Train Loss: 23.006 | Val. Loss: 22.243 | Val. Accuracy:   9.790 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 009 | Train Loss: 23.107 | Val. Loss: 21.243 | Val. Accuracy:  11.350 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 010 | Train Loss: 22.911 | Val. Loss: 20.480 | Val. Accuracy:   9.580 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 011 | Train Loss: 22.780 | Val. Loss: 18.563 | Val. Accuracy:   9.740 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 012 | Train Loss: 23.347 | Val. Loss: 25.672 | Val. Accuracy:  10.280 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 013 | Train Loss: 22.836 | Val. Loss: 25.259 | Val. Accuracy:   9.740 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 014 | Train Loss: 22.694 | Val. Loss: 21.056 | Val. Accuracy:  11.350 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 015 | Train Loss: 23.051 | Val. Loss: 25.114 | Val. Accuracy:  10.280 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 016 | Train Loss: 23.038 | Val. Loss: 23.421 | Val. Accuracy:  10.090 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 017 | Train Loss: 22.520 | Val. Loss: 20.709 | Val. Accuracy:  11.350 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 018 | Train Loss: 23.738 | Val. Loss: 19.085 | Val. Accuracy:   9.790 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 019 | Train Loss: 23.211 | Val. Loss: 24.338 | Val. Accuracy:  10.090 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 020 | Train Loss: 23.010 | Val. Loss: 23.371 | Val. Accuracy:  10.320 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 021 | Train Loss: 22.746 | Val. Loss: 20.600 | Val. Accuracy:   9.790 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 022 | Train Loss: 23.328 | Val. Loss: 27.197 | Val. Accuracy:  10.280 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 023 | Train Loss: 22.976 | Val. Loss: 19.411 | Val. Accuracy:   9.740 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 024 | Train Loss: 23.281 | Val. Loss: 21.864 | Val. Accuracy:  10.280 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 025 | Train Loss: 22.626 | Val. Loss: 26.955 | Val. Accuracy:  10.320 | offline updates:  75.000 | online udpates:  25.000 |
