| Epoch: 001 | Train Loss: 2.217 | Val. Loss: 2.619 | Val. Accuracy:  12.370 | offline updates:   0.028 | online udpates:  99.972 |
| Epoch: 002 | Train Loss: 3.319 | Val. Loss: 3.981 | Val. Accuracy:   9.790 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 003 | Train Loss: 3.690 | Val. Loss: 4.507 | Val. Accuracy:  10.090 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 004 | Train Loss: 3.609 | Val. Loss: 2.905 | Val. Accuracy:  10.100 | offline updates:   0.207 | online udpates:  99.793 |
| Epoch: 005 | Train Loss: 3.639 | Val. Loss: 3.214 | Val. Accuracy:  11.350 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 006 | Train Loss: 3.686 | Val. Loss: 4.277 | Val. Accuracy:  10.320 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 007 | Train Loss: 3.756 | Val. Loss: 4.814 | Val. Accuracy:   9.820 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 008 | Train Loss: 3.752 | Val. Loss: 3.316 | Val. Accuracy:  10.280 | offline updates:   0.242 | online udpates:  99.758 |
| Epoch: 009 | Train Loss: 3.724 | Val. Loss: 3.118 | Val. Accuracy:   9.790 | offline updates:  71.017 | online udpates:  28.983 |
| Epoch: 010 | Train Loss: 3.702 | Val. Loss: 3.388 | Val. Accuracy:  10.280 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 011 | Train Loss: 3.710 | Val. Loss: 3.911 | Val. Accuracy:  10.320 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 012 | Train Loss: 3.675 | Val. Loss: 4.346 | Val. Accuracy:  10.280 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 013 | Train Loss: 3.676 | Val. Loss: 3.906 | Val. Accuracy:  10.320 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 014 | Train Loss: 3.733 | Val. Loss: 4.916 | Val. Accuracy:   9.820 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 015 | Train Loss: 3.762 | Val. Loss: 3.752 | Val. Accuracy:   9.740 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 016 | Train Loss: 3.700 | Val. Loss: 4.123 | Val. Accuracy:  10.100 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 017 | Train Loss: 3.695 | Val. Loss: 3.055 | Val. Accuracy:  10.280 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 018 | Train Loss: 3.722 | Val. Loss: 4.146 | Val. Accuracy:   9.790 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 019 | Train Loss: 3.683 | Val. Loss: 4.424 | Val. Accuracy:  10.090 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 020 | Train Loss: 3.777 | Val. Loss: 4.707 | Val. Accuracy:  10.320 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 021 | Train Loss: 3.710 | Val. Loss: 3.242 | Val. Accuracy:   9.820 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 022 | Train Loss: 3.693 | Val. Loss: 3.619 | Val. Accuracy:   8.920 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 023 | Train Loss: 3.756 | Val. Loss: 3.829 | Val. Accuracy:  10.100 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 024 | Train Loss: 3.740 | Val. Loss: 3.824 | Val. Accuracy:   9.790 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 025 | Train Loss: 3.738 | Val. Loss: 3.995 | Val. Accuracy:  11.350 | offline updates:  75.000 | online udpates:  25.000 |
