| Epoch: 001 | Train Loss: 15.633 | Val. Loss: 16.867 | Val. Accuracy:  77.890 | offline updates:  62.816 | online udpates:  37.184 |
| Epoch: 002 | Train Loss: 16.005 | Val. Loss: 10.641 | Val. Accuracy:  82.510 | offline updates:  51.183 | online udpates:  48.817 |
| Epoch: 003 | Train Loss: 14.452 | Val. Loss: 20.602 | Val. Accuracy:  73.070 | offline updates:  51.434 | online udpates:  48.566 |
| Epoch: 004 | Train Loss: 13.399 | Val. Loss: 9.197 | Val. Accuracy:  86.030 | offline updates:  51.525 | online udpates:  48.475 |
| Epoch: 005 | Train Loss: 12.217 | Val. Loss: 12.854 | Val. Accuracy:  79.510 | offline updates:  51.902 | online udpates:  48.098 |
| Epoch: 006 | Train Loss: 11.175 | Val. Loss: 8.756 | Val. Accuracy:  86.510 | offline updates:  52.432 | online udpates:  47.568 |
| Epoch: 007 | Train Loss: 10.335 | Val. Loss: 8.658 | Val. Accuracy:  85.240 | offline updates:  52.873 | online udpates:  47.127 |
| Epoch: 008 | Train Loss: 9.215 | Val. Loss: 9.125 | Val. Accuracy:  85.020 | offline updates:  51.918 | online udpates:  48.082 |
| Epoch: 009 | Train Loss: 8.676 | Val. Loss: 7.170 | Val. Accuracy:  87.670 | offline updates:  52.785 | online udpates:  47.215 |
| Epoch: 010 | Train Loss: 7.814 | Val. Loss: 7.097 | Val. Accuracy:  88.310 | offline updates:  53.354 | online udpates:  46.646 |
| Epoch: 011 | Train Loss: 7.239 | Val. Loss: 6.622 | Val. Accuracy:  88.520 | offline updates:  53.331 | online udpates:  46.669 |
| Epoch: 012 | Train Loss: 6.809 | Val. Loss: 7.270 | Val. Accuracy:  87.950 | offline updates:  53.111 | online udpates:  46.889 |
| Epoch: 013 | Train Loss: 6.246 | Val. Loss: 12.900 | Val. Accuracy:  83.870 | offline updates:  53.540 | online udpates:  46.460 |
| Epoch: 014 | Train Loss: 5.958 | Val. Loss: 6.924 | Val. Accuracy:  88.100 | offline updates:  54.567 | online udpates:  45.433 |
| Epoch: 015 | Train Loss: 5.279 | Val. Loss: 5.184 | Val. Accuracy:  89.480 | offline updates:  54.157 | online udpates:  45.843 |
| Epoch: 016 | Train Loss: 4.843 | Val. Loss: 7.852 | Val. Accuracy:  82.760 | offline updates:  53.630 | online udpates:  46.370 |
| Epoch: 017 | Train Loss: 4.407 | Val. Loss: 3.569 | Val. Accuracy:  91.410 | offline updates:  55.204 | online udpates:  44.796 |
| Epoch: 018 | Train Loss: 3.780 | Val. Loss: 3.163 | Val. Accuracy:  91.160 | offline updates:  53.260 | online udpates:  46.740 |
| Epoch: 019 | Train Loss: 3.065 | Val. Loss: 1.544 | Val. Accuracy:  61.870 | offline updates:  57.203 | online udpates:  42.797 |
| Epoch: 020 | Train Loss: 2.468 | Val. Loss: 3.104 | Val. Accuracy:  18.720 | offline updates:  46.394 | online udpates:  53.606 |
| Epoch: 021 | Train Loss: 3.389 | Val. Loss: 4.038 | Val. Accuracy:  10.090 | offline updates:  55.634 | online udpates:  44.366 |
| Epoch: 022 | Train Loss: 4.136 | Val. Loss: 3.987 | Val. Accuracy:  12.660 | offline updates:  36.871 | online udpates:  63.129 |
| Epoch: 023 | Train Loss: 4.061 | Val. Loss: 4.598 | Val. Accuracy:  10.530 | offline updates:  52.379 | online udpates:  47.621 |
| Epoch: 024 | Train Loss: 4.235 | Val. Loss: 2.648 | Val. Accuracy:  11.280 | offline updates:  57.859 | online udpates:  42.141 |
| Epoch: 025 | Train Loss: 4.300 | Val. Loss: 4.502 | Val. Accuracy:   9.580 | offline updates:  57.049 | online udpates:  42.951 |
