| Epoch: 001 | Train Loss: 0.661 | Val. Loss: 0.331 | Val. Accuracy:  89.750 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 002 | Train Loss: 0.289 | Val. Loss: 0.234 | Val. Accuracy:  92.780 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 003 | Train Loss: 0.212 | Val. Loss: 0.177 | Val. Accuracy:  94.700 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 004 | Train Loss: 0.169 | Val. Loss: 0.173 | Val. Accuracy:  94.460 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 005 | Train Loss: 0.146 | Val. Loss: 0.135 | Val. Accuracy:  95.850 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 006 | Train Loss: 0.130 | Val. Loss: 0.127 | Val. Accuracy:  95.940 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 007 | Train Loss: 0.119 | Val. Loss: 0.143 | Val. Accuracy:  95.720 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 008 | Train Loss: 0.109 | Val. Loss: 0.134 | Val. Accuracy:  96.060 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 009 | Train Loss: 0.104 | Val. Loss: 0.119 | Val. Accuracy:  96.520 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 010 | Train Loss: 0.098 | Val. Loss: 0.131 | Val. Accuracy:  96.150 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 011 | Train Loss: 0.094 | Val. Loss: 0.121 | Val. Accuracy:  96.420 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 012 | Train Loss: 0.088 | Val. Loss: 0.131 | Val. Accuracy:  96.200 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 013 | Train Loss: 0.087 | Val. Loss: 0.130 | Val. Accuracy:  96.110 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 014 | Train Loss: 0.083 | Val. Loss: 0.129 | Val. Accuracy:  96.460 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 015 | Train Loss: 0.078 | Val. Loss: 0.142 | Val. Accuracy:  96.210 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 016 | Train Loss: 0.076 | Val. Loss: 0.135 | Val. Accuracy:  96.550 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 017 | Train Loss: 0.073 | Val. Loss: 0.139 | Val. Accuracy:  96.360 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 018 | Train Loss: 0.071 | Val. Loss: 0.149 | Val. Accuracy:  96.220 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 019 | Train Loss: 0.068 | Val. Loss: 0.143 | Val. Accuracy:  96.440 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 020 | Train Loss: 0.066 | Val. Loss: 0.142 | Val. Accuracy:  96.450 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 021 | Train Loss: 0.064 | Val. Loss: 0.158 | Val. Accuracy:  96.320 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 022 | Train Loss: 0.065 | Val. Loss: 0.176 | Val. Accuracy:  96.010 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 023 | Train Loss: 0.061 | Val. Loss: 0.161 | Val. Accuracy:  96.220 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 024 | Train Loss: 0.058 | Val. Loss: 0.151 | Val. Accuracy:  96.530 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 025 | Train Loss: 0.060 | Val. Loss: 0.158 | Val. Accuracy:  96.520 | offline updates:   0.000 | online udpates: 100.000 |
