| Epoch: 001 | Train Loss: 0.577 | Val. Loss: 0.374 | Val. Accuracy:  88.930 | offline updates:   1.393 | online udpates:  98.607 |
| Epoch: 002 | Train Loss: 0.379 | Val. Loss: 0.348 | Val. Accuracy:  89.560 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 003 | Train Loss: 0.358 | Val. Loss: 0.327 | Val. Accuracy:  90.980 | offline updates:   0.079 | online udpates:  99.921 |
| Epoch: 004 | Train Loss: 0.349 | Val. Loss: 0.316 | Val. Accuracy:  90.770 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 005 | Train Loss: 0.340 | Val. Loss: 0.364 | Val. Accuracy:  89.050 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 006 | Train Loss: 0.337 | Val. Loss: 0.317 | Val. Accuracy:  91.390 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 007 | Train Loss: 0.331 | Val. Loss: 0.396 | Val. Accuracy:  88.810 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 008 | Train Loss: 0.329 | Val. Loss: 0.383 | Val. Accuracy:  89.290 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 009 | Train Loss: 0.326 | Val. Loss: 0.335 | Val. Accuracy:  90.680 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 010 | Train Loss: 0.326 | Val. Loss: 0.343 | Val. Accuracy:  90.380 | offline updates:   0.049 | online udpates:  99.951 |
| Epoch: 011 | Train Loss: 0.326 | Val. Loss: 0.322 | Val. Accuracy:  90.680 | offline updates:   2.251 | online udpates:  97.749 |
| Epoch: 012 | Train Loss: 0.320 | Val. Loss: 0.339 | Val. Accuracy:  90.010 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 013 | Train Loss: 0.323 | Val. Loss: 0.328 | Val. Accuracy:  91.080 | offline updates:   1.537 | online udpates:  98.463 |
| Epoch: 014 | Train Loss: 0.318 | Val. Loss: 0.309 | Val. Accuracy:  91.600 | offline updates:   0.177 | online udpates:  99.823 |
| Epoch: 015 | Train Loss: 0.317 | Val. Loss: 0.335 | Val. Accuracy:  90.600 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 016 | Train Loss: 0.318 | Val. Loss: 0.319 | Val. Accuracy:  90.830 | offline updates:   0.056 | online udpates:  99.944 |
| Epoch: 017 | Train Loss: 0.319 | Val. Loss: 0.331 | Val. Accuracy:  90.880 | offline updates:   4.803 | online udpates:  95.197 |
| Epoch: 018 | Train Loss: 0.314 | Val. Loss: 0.323 | Val. Accuracy:  90.810 | offline updates:   0.319 | online udpates:  99.681 |
| Epoch: 019 | Train Loss: 0.313 | Val. Loss: 0.336 | Val. Accuracy:  90.860 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 020 | Train Loss: 0.312 | Val. Loss: 0.331 | Val. Accuracy:  90.730 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 021 | Train Loss: 0.312 | Val. Loss: 0.325 | Val. Accuracy:  90.800 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 022 | Train Loss: 0.311 | Val. Loss: 0.334 | Val. Accuracy:  90.730 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 023 | Train Loss: 0.311 | Val. Loss: 0.331 | Val. Accuracy:  90.660 | offline updates:   1.187 | online udpates:  98.813 |
| Epoch: 024 | Train Loss: 0.310 | Val. Loss: 0.323 | Val. Accuracy:  90.950 | offline updates:   0.298 | online udpates:  99.702 |
| Epoch: 025 | Train Loss: 0.308 | Val. Loss: 0.342 | Val. Accuracy:  90.900 | offline updates:   0.075 | online udpates:  99.925 |
