| Epoch: 001 | Train Loss: 45.566 | Val. Loss: 66.478 | Val. Accuracy:   9.580 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 002 | Train Loss: 64.772 | Val. Loss: 76.419 | Val. Accuracy:   8.920 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 003 | Train Loss: 65.622 | Val. Loss: 52.017 | Val. Accuracy:  10.100 | offline updates:   4.925 | online udpates:  95.075 |
| Epoch: 004 | Train Loss: 64.587 | Val. Loss: 57.163 | Val. Accuracy:  10.090 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 005 | Train Loss: 64.901 | Val. Loss: 72.258 | Val. Accuracy:   9.740 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 006 | Train Loss: 65.592 | Val. Loss: 50.929 | Val. Accuracy:  10.280 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 007 | Train Loss: 64.289 | Val. Loss: 76.103 | Val. Accuracy:   9.580 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 008 | Train Loss: 65.178 | Val. Loss: 64.272 | Val. Accuracy:   8.920 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 009 | Train Loss: 65.485 | Val. Loss: 53.962 | Val. Accuracy:  10.090 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 010 | Train Loss: 64.393 | Val. Loss: 62.017 | Val. Accuracy:  10.320 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 011 | Train Loss: 65.661 | Val. Loss: 88.177 | Val. Accuracy:   9.580 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 012 | Train Loss: 65.835 | Val. Loss: 48.543 | Val. Accuracy:   9.800 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 013 | Train Loss: 64.250 | Val. Loss: 59.997 | Val. Accuracy:  11.350 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 014 | Train Loss: 65.719 | Val. Loss: 79.582 | Val. Accuracy:  10.320 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 015 | Train Loss: 65.267 | Val. Loss: 72.015 | Val. Accuracy:   9.740 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 016 | Train Loss: 65.344 | Val. Loss: 63.591 | Val. Accuracy:  10.320 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 017 | Train Loss: 65.465 | Val. Loss: 72.215 | Val. Accuracy:  10.280 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 018 | Train Loss: 65.535 | Val. Loss: 83.252 | Val. Accuracy:  10.320 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 019 | Train Loss: 64.859 | Val. Loss: 46.691 | Val. Accuracy:   9.740 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 020 | Train Loss: 64.432 | Val. Loss: 84.075 | Val. Accuracy:   9.740 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 021 | Train Loss: 67.121 | Val. Loss: 66.630 | Val. Accuracy:  10.090 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 022 | Train Loss: 64.177 | Val. Loss: 56.824 | Val. Accuracy:   9.580 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 023 | Train Loss: 66.483 | Val. Loss: 48.145 | Val. Accuracy:   9.740 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 024 | Train Loss: 64.707 | Val. Loss: 58.208 | Val. Accuracy:  10.100 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 025 | Train Loss: 65.913 | Val. Loss: 74.206 | Val. Accuracy:   9.740 | offline updates:  75.000 | online udpates:  25.000 |
