| Epoch: 001 | Train Loss: 0.493 | Val. Loss: 0.309 | Val. Accuracy:  90.900 | offline updates:  29.404 | online udpates:  70.596 |
| Epoch: 002 | Train Loss: 0.324 | Val. Loss: 0.296 | Val. Accuracy:  91.940 | offline updates:  30.689 | online udpates:  69.311 |
| Epoch: 003 | Train Loss: 0.316 | Val. Loss: 0.336 | Val. Accuracy:  90.400 | offline updates:  31.495 | online udpates:  68.505 |
| Epoch: 004 | Train Loss: 0.310 | Val. Loss: 0.333 | Val. Accuracy:  90.280 | offline updates:  31.465 | online udpates:  68.535 |
| Epoch: 005 | Train Loss: 0.308 | Val. Loss: 0.317 | Val. Accuracy:  91.190 | offline updates:  29.507 | online udpates:  70.493 |
| Epoch: 006 | Train Loss: 0.311 | Val. Loss: 0.307 | Val. Accuracy:  91.510 | offline updates:  38.591 | online udpates:  61.409 |
| Epoch: 007 | Train Loss: 0.302 | Val. Loss: 0.321 | Val. Accuracy:  91.130 | offline updates:  33.797 | online udpates:  66.203 |
| Epoch: 008 | Train Loss: 0.303 | Val. Loss: 0.356 | Val. Accuracy:  89.350 | offline updates:  33.889 | online udpates:  66.111 |
| Epoch: 009 | Train Loss: 0.301 | Val. Loss: 0.302 | Val. Accuracy:  91.620 | offline updates:  39.877 | online udpates:  60.123 |
| Epoch: 010 | Train Loss: 0.297 | Val. Loss: 0.312 | Val. Accuracy:  91.510 | offline updates:  27.172 | online udpates:  72.828 |
| Epoch: 011 | Train Loss: 0.298 | Val. Loss: 0.293 | Val. Accuracy:  91.890 | offline updates:  31.198 | online udpates:  68.802 |
| Epoch: 012 | Train Loss: 0.297 | Val. Loss: 0.334 | Val. Accuracy:  90.300 | offline updates:  37.743 | online udpates:  62.257 |
| Epoch: 013 | Train Loss: 0.297 | Val. Loss: 0.297 | Val. Accuracy:  92.020 | offline updates:  37.840 | online udpates:  62.160 |
| Epoch: 014 | Train Loss: 0.294 | Val. Loss: 0.349 | Val. Accuracy:  89.910 | offline updates:  32.652 | online udpates:  67.348 |
| Epoch: 015 | Train Loss: 0.296 | Val. Loss: 0.378 | Val. Accuracy:  89.620 | offline updates:  34.706 | online udpates:  65.294 |
| Epoch: 016 | Train Loss: 0.290 | Val. Loss: 0.307 | Val. Accuracy:  91.740 | offline updates:  33.789 | online udpates:  66.211 |
| Epoch: 017 | Train Loss: 0.294 | Val. Loss: 0.294 | Val. Accuracy:  92.070 | offline updates:  37.503 | online udpates:  62.497 |
| Epoch: 018 | Train Loss: 0.291 | Val. Loss: 0.315 | Val. Accuracy:  91.670 | offline updates:  31.565 | online udpates:  68.435 |
| Epoch: 019 | Train Loss: 0.290 | Val. Loss: 0.334 | Val. Accuracy:  90.680 | offline updates:  26.236 | online udpates:  73.764 |
| Epoch: 020 | Train Loss: 0.289 | Val. Loss: 0.306 | Val. Accuracy:  91.480 | offline updates:  35.934 | online udpates:  64.066 |
| Epoch: 021 | Train Loss: 0.290 | Val. Loss: 0.296 | Val. Accuracy:  91.960 | offline updates:  30.176 | online udpates:  69.824 |
| Epoch: 022 | Train Loss: 0.292 | Val. Loss: 0.311 | Val. Accuracy:  91.550 | offline updates:  38.032 | online udpates:  61.968 |
| Epoch: 023 | Train Loss: 0.289 | Val. Loss: 0.347 | Val. Accuracy:  90.580 | offline updates:  26.171 | online udpates:  73.829 |
| Epoch: 024 | Train Loss: 0.287 | Val. Loss: 0.318 | Val. Accuracy:  91.410 | offline updates:  28.664 | online udpates:  71.336 |
| Epoch: 025 | Train Loss: 0.288 | Val. Loss: 0.321 | Val. Accuracy:  91.350 | offline updates:  29.747 | online udpates:  70.253 |
