| Epoch: 001 | Train Loss: 25.434 | Val. Loss: 26.989 | Val. Accuracy:  78.650 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 002 | Train Loss: 25.612 | Val. Loss: 16.759 | Val. Accuracy:  87.760 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 003 | Train Loss: 25.927 | Val. Loss: 28.830 | Val. Accuracy:  79.340 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 004 | Train Loss: 24.958 | Val. Loss: 31.496 | Val. Accuracy:  82.690 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 005 | Train Loss: 26.193 | Val. Loss: 27.650 | Val. Accuracy:  82.360 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 006 | Train Loss: 25.172 | Val. Loss: 22.537 | Val. Accuracy:  86.830 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 007 | Train Loss: 25.249 | Val. Loss: 20.807 | Val. Accuracy:  88.220 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 008 | Train Loss: 26.056 | Val. Loss: 35.909 | Val. Accuracy:  83.410 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 009 | Train Loss: 24.892 | Val. Loss: 28.407 | Val. Accuracy:  85.770 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 010 | Train Loss: 25.857 | Val. Loss: 33.560 | Val. Accuracy:  81.710 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 011 | Train Loss: 25.473 | Val. Loss: 23.215 | Val. Accuracy:  87.620 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 012 | Train Loss: 24.606 | Val. Loss: 29.295 | Val. Accuracy:  84.760 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 013 | Train Loss: 26.180 | Val. Loss: 32.819 | Val. Accuracy:  84.730 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 014 | Train Loss: 25.816 | Val. Loss: 28.188 | Val. Accuracy:  85.190 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 015 | Train Loss: 25.325 | Val. Loss: 35.544 | Val. Accuracy:  83.560 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 016 | Train Loss: 25.022 | Val. Loss: 21.701 | Val. Accuracy:  88.880 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 017 | Train Loss: 25.655 | Val. Loss: 23.367 | Val. Accuracy:  88.030 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 018 | Train Loss: 25.264 | Val. Loss: 34.319 | Val. Accuracy:  83.470 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 019 | Train Loss: 25.368 | Val. Loss: 26.014 | Val. Accuracy:  86.770 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 020 | Train Loss: 25.613 | Val. Loss: 29.144 | Val. Accuracy:  85.950 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 021 | Train Loss: 25.708 | Val. Loss: 31.168 | Val. Accuracy:  84.380 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 022 | Train Loss: 25.170 | Val. Loss: 36.648 | Val. Accuracy:  83.040 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 023 | Train Loss: 26.136 | Val. Loss: 23.206 | Val. Accuracy:  88.300 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 024 | Train Loss: 26.015 | Val. Loss: 39.806 | Val. Accuracy:  82.160 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 025 | Train Loss: 25.896 | Val. Loss: 26.068 | Val. Accuracy:  87.770 | offline updates:   0.000 | online udpates: 100.000 |
