| Epoch: 001 | Train Loss: 0.609 | Val. Loss: 0.486 | Val. Accuracy:  85.870 | offline updates:   0.108 | online udpates:  99.892 |
| Epoch: 002 | Train Loss: 0.451 | Val. Loss: 0.473 | Val. Accuracy:  86.600 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 003 | Train Loss: 0.437 | Val. Loss: 0.416 | Val. Accuracy:  88.830 | offline updates:   0.081 | online udpates:  99.919 |
| Epoch: 004 | Train Loss: 0.418 | Val. Loss: 0.420 | Val. Accuracy:  87.980 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 005 | Train Loss: 0.423 | Val. Loss: 0.411 | Val. Accuracy:  88.970 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 006 | Train Loss: 0.420 | Val. Loss: 0.447 | Val. Accuracy:  87.870 | offline updates:   0.048 | online udpates:  99.952 |
| Epoch: 007 | Train Loss: 0.413 | Val. Loss: 0.400 | Val. Accuracy:  89.340 | offline updates:   0.076 | online udpates:  99.924 |
| Epoch: 008 | Train Loss: 0.408 | Val. Loss: 0.399 | Val. Accuracy:  89.320 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 009 | Train Loss: 0.409 | Val. Loss: 0.362 | Val. Accuracy:  90.110 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 010 | Train Loss: 0.403 | Val. Loss: 0.446 | Val. Accuracy:  88.710 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 011 | Train Loss: 0.408 | Val. Loss: 0.420 | Val. Accuracy:  89.230 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 012 | Train Loss: 0.413 | Val. Loss: 0.469 | Val. Accuracy:  88.010 | offline updates:   1.715 | online udpates:  98.285 |
| Epoch: 013 | Train Loss: 0.398 | Val. Loss: 0.389 | Val. Accuracy:  89.980 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 014 | Train Loss: 0.403 | Val. Loss: 0.458 | Val. Accuracy:  88.510 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 015 | Train Loss: 0.400 | Val. Loss: 0.364 | Val. Accuracy:  90.760 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 016 | Train Loss: 0.399 | Val. Loss: 0.391 | Val. Accuracy:  89.700 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 017 | Train Loss: 0.402 | Val. Loss: 0.382 | Val. Accuracy:  90.450 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 018 | Train Loss: 0.397 | Val. Loss: 0.444 | Val. Accuracy:  88.610 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 019 | Train Loss: 0.393 | Val. Loss: 0.441 | Val. Accuracy:  88.700 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 020 | Train Loss: 0.395 | Val. Loss: 0.407 | Val. Accuracy:  89.480 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 021 | Train Loss: 0.392 | Val. Loss: 0.489 | Val. Accuracy:  87.710 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 022 | Train Loss: 0.391 | Val. Loss: 0.371 | Val. Accuracy:  90.910 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 023 | Train Loss: 0.385 | Val. Loss: 0.479 | Val. Accuracy:  87.730 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 024 | Train Loss: 0.399 | Val. Loss: 0.449 | Val. Accuracy:  88.530 | offline updates:   0.379 | online udpates:  99.621 |
| Epoch: 025 | Train Loss: 0.394 | Val. Loss: 0.483 | Val. Accuracy:  88.430 | offline updates:   0.044 | online udpates:  99.956 |
