| Epoch: 001 | Train Loss: 111.610 | Val. Loss: 129.829 | Val. Accuracy:  75.220 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 002 | Train Loss: 112.243 | Val. Loss: 88.561 | Val. Accuracy:  82.810 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 003 | Train Loss: 107.998 | Val. Loss: 93.150 | Val. Accuracy:  84.090 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 004 | Train Loss: 106.496 | Val. Loss: 103.560 | Val. Accuracy:  82.950 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 005 | Train Loss: 106.294 | Val. Loss: 97.718 | Val. Accuracy:  84.700 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 006 | Train Loss: 100.122 | Val. Loss: 119.363 | Val. Accuracy:  82.300 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 007 | Train Loss: 102.487 | Val. Loss: 88.705 | Val. Accuracy:  85.450 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 008 | Train Loss: 103.012 | Val. Loss: 85.333 | Val. Accuracy:  86.530 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 009 | Train Loss: 103.027 | Val. Loss: 129.247 | Val. Accuracy:  82.980 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 010 | Train Loss: 100.366 | Val. Loss: 119.109 | Val. Accuracy:  83.590 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 011 | Train Loss: 100.974 | Val. Loss: 102.309 | Val. Accuracy:  85.140 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 012 | Train Loss: 99.887 | Val. Loss: 91.559 | Val. Accuracy:  86.880 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 013 | Train Loss: 103.414 | Val. Loss: 101.081 | Val. Accuracy:  85.770 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 014 | Train Loss: 101.521 | Val. Loss: 106.508 | Val. Accuracy:  86.470 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 015 | Train Loss: 97.964 | Val. Loss: 104.452 | Val. Accuracy:  85.610 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 016 | Train Loss: 104.050 | Val. Loss: 150.919 | Val. Accuracy:  79.940 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 017 | Train Loss: 101.164 | Val. Loss: 107.866 | Val. Accuracy:  85.700 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 018 | Train Loss: 98.146 | Val. Loss: 106.949 | Val. Accuracy:  85.570 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 019 | Train Loss: 98.586 | Val. Loss: 109.047 | Val. Accuracy:  85.870 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 020 | Train Loss: 100.670 | Val. Loss: 93.690 | Val. Accuracy:  87.360 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 021 | Train Loss: 99.970 | Val. Loss: 108.264 | Val. Accuracy:  85.640 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 022 | Train Loss: 100.141 | Val. Loss: 93.284 | Val. Accuracy:  86.930 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 023 | Train Loss: 101.514 | Val. Loss: 104.762 | Val. Accuracy:  85.810 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 024 | Train Loss: 98.978 | Val. Loss: 96.799 | Val. Accuracy:  88.010 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 025 | Train Loss: 101.103 | Val. Loss: 120.272 | Val. Accuracy:  84.490 | offline updates:   0.000 | online udpates: 100.000 |
