| Epoch: 001 | Train Loss: 0.636 | Val. Loss: 0.293 | Val. Accuracy:  91.240 | offline updates:  12.511 | online udpates:  87.489 |
| Epoch: 002 | Train Loss: 0.287 | Val. Loss: 0.206 | Val. Accuracy:  93.460 | offline updates:  13.582 | online udpates:  86.418 |
| Epoch: 003 | Train Loss: 0.215 | Val. Loss: 0.187 | Val. Accuracy:  94.160 | offline updates:  12.892 | online udpates:  87.108 |
| Epoch: 004 | Train Loss: 0.170 | Val. Loss: 0.148 | Val. Accuracy:  95.560 | offline updates:   7.846 | online udpates:  92.154 |
| Epoch: 005 | Train Loss: 0.144 | Val. Loss: 0.147 | Val. Accuracy:  95.470 | offline updates:   8.237 | online udpates:  91.763 |
| Epoch: 006 | Train Loss: 0.126 | Val. Loss: 0.167 | Val. Accuracy:  94.820 | offline updates:   9.751 | online udpates:  90.249 |
| Epoch: 007 | Train Loss: 0.117 | Val. Loss: 0.135 | Val. Accuracy:  96.060 | offline updates:   7.863 | online udpates:  92.137 |
| Epoch: 008 | Train Loss: 0.107 | Val. Loss: 0.129 | Val. Accuracy:  96.410 | offline updates:   7.760 | online udpates:  92.240 |
| Epoch: 009 | Train Loss: 0.101 | Val. Loss: 0.139 | Val. Accuracy:  95.870 | offline updates:   8.416 | online udpates:  91.584 |
| Epoch: 010 | Train Loss: 0.096 | Val. Loss: 0.126 | Val. Accuracy:  96.290 | offline updates:   6.023 | online udpates:  93.977 |
| Epoch: 011 | Train Loss: 0.090 | Val. Loss: 0.132 | Val. Accuracy:  96.250 | offline updates:   5.907 | online udpates:  94.093 |
| Epoch: 012 | Train Loss: 0.087 | Val. Loss: 0.127 | Val. Accuracy:  96.400 | offline updates:  10.727 | online udpates:  89.273 |
| Epoch: 013 | Train Loss: 0.085 | Val. Loss: 0.130 | Val. Accuracy:  96.650 | offline updates:   4.289 | online udpates:  95.711 |
| Epoch: 014 | Train Loss: 0.079 | Val. Loss: 0.136 | Val. Accuracy:  96.330 | offline updates:   2.532 | online udpates:  97.468 |
| Epoch: 015 | Train Loss: 0.077 | Val. Loss: 0.136 | Val. Accuracy:  96.630 | offline updates:   8.263 | online udpates:  91.737 |
| Epoch: 016 | Train Loss: 0.075 | Val. Loss: 0.151 | Val. Accuracy:  96.230 | offline updates:   4.993 | online udpates:  95.007 |
| Epoch: 017 | Train Loss: 0.074 | Val. Loss: 0.142 | Val. Accuracy:  96.550 | offline updates:   3.140 | online udpates:  96.860 |
| Epoch: 018 | Train Loss: 0.071 | Val. Loss: 0.133 | Val. Accuracy:  96.680 | offline updates:   6.844 | online udpates:  93.156 |
| Epoch: 019 | Train Loss: 0.068 | Val. Loss: 0.149 | Val. Accuracy:  96.400 | offline updates:   5.388 | online udpates:  94.612 |
| Epoch: 020 | Train Loss: 0.067 | Val. Loss: 0.163 | Val. Accuracy:  96.170 | offline updates:   4.874 | online udpates:  95.126 |
| Epoch: 021 | Train Loss: 0.063 | Val. Loss: 0.143 | Val. Accuracy:  96.690 | offline updates:   5.870 | online udpates:  94.130 |
| Epoch: 022 | Train Loss: 0.063 | Val. Loss: 0.149 | Val. Accuracy:  96.760 | offline updates:   5.408 | online udpates:  94.592 |
| Epoch: 023 | Train Loss: 0.061 | Val. Loss: 0.165 | Val. Accuracy:  96.480 | offline updates:   9.845 | online udpates:  90.155 |
| Epoch: 024 | Train Loss: 0.059 | Val. Loss: 0.154 | Val. Accuracy:  96.700 | offline updates:   5.260 | online udpates:  94.740 |
| Epoch: 025 | Train Loss: 0.061 | Val. Loss: 0.147 | Val. Accuracy:  96.820 | offline updates:   7.443 | online udpates:  92.557 |
