| Epoch: 001 | Train Loss: 0.579 | Val. Loss: 0.278 | Val. Accuracy:  91.820 | offline updates:  30.934 | online udpates:  69.066 |
| Epoch: 002 | Train Loss: 0.221 | Val. Loss: 0.170 | Val. Accuracy:  94.990 | offline updates:  30.606 | online udpates:  69.394 |
| Epoch: 003 | Train Loss: 0.156 | Val. Loss: 0.158 | Val. Accuracy:  95.130 | offline updates:  25.064 | online udpates:  74.936 |
| Epoch: 004 | Train Loss: 0.132 | Val. Loss: 0.133 | Val. Accuracy:  96.130 | offline updates:  24.900 | online udpates:  75.100 |
| Epoch: 005 | Train Loss: 0.116 | Val. Loss: 0.127 | Val. Accuracy:  96.090 | offline updates:  21.763 | online udpates:  78.237 |
| Epoch: 006 | Train Loss: 0.105 | Val. Loss: 0.122 | Val. Accuracy:  96.310 | offline updates:  17.749 | online udpates:  82.251 |
| Epoch: 007 | Train Loss: 0.099 | Val. Loss: 0.128 | Val. Accuracy:  96.020 | offline updates:  18.157 | online udpates:  81.843 |
| Epoch: 008 | Train Loss: 0.091 | Val. Loss: 0.135 | Val. Accuracy:  95.930 | offline updates:  17.235 | online udpates:  82.765 |
| Epoch: 009 | Train Loss: 0.086 | Val. Loss: 0.134 | Val. Accuracy:  96.410 | offline updates:  13.594 | online udpates:  86.406 |
| Epoch: 010 | Train Loss: 0.079 | Val. Loss: 0.122 | Val. Accuracy:  96.600 | offline updates:  17.472 | online udpates:  82.528 |
| Epoch: 011 | Train Loss: 0.075 | Val. Loss: 0.141 | Val. Accuracy:  96.230 | offline updates:  16.321 | online udpates:  83.679 |
| Epoch: 012 | Train Loss: 0.074 | Val. Loss: 0.128 | Val. Accuracy:  96.800 | offline updates:  14.329 | online udpates:  85.671 |
| Epoch: 013 | Train Loss: 0.070 | Val. Loss: 0.144 | Val. Accuracy:  96.230 | offline updates:  16.501 | online udpates:  83.499 |
| Epoch: 014 | Train Loss: 0.067 | Val. Loss: 0.131 | Val. Accuracy:  96.760 | offline updates:  15.022 | online udpates:  84.978 |
| Epoch: 015 | Train Loss: 0.064 | Val. Loss: 0.156 | Val. Accuracy:  96.400 | offline updates:  16.748 | online udpates:  83.252 |
| Epoch: 016 | Train Loss: 0.062 | Val. Loss: 0.146 | Val. Accuracy:  96.350 | offline updates:  17.254 | online udpates:  82.746 |
| Epoch: 017 | Train Loss: 0.058 | Val. Loss: 0.161 | Val. Accuracy:  96.370 | offline updates:  12.880 | online udpates:  87.120 |
| Epoch: 018 | Train Loss: 0.061 | Val. Loss: 0.153 | Val. Accuracy:  96.620 | offline updates:  16.949 | online udpates:  83.051 |
| Epoch: 019 | Train Loss: 0.057 | Val. Loss: 0.162 | Val. Accuracy:  96.470 | offline updates:  14.408 | online udpates:  85.592 |
| Epoch: 020 | Train Loss: 0.053 | Val. Loss: 0.174 | Val. Accuracy:  96.210 | offline updates:  14.580 | online udpates:  85.420 |
| Epoch: 021 | Train Loss: 0.052 | Val. Loss: 0.154 | Val. Accuracy:  96.580 | offline updates:  16.453 | online udpates:  83.547 |
| Epoch: 022 | Train Loss: 0.052 | Val. Loss: 0.173 | Val. Accuracy:  96.440 | offline updates:  13.782 | online udpates:  86.218 |
| Epoch: 023 | Train Loss: 0.051 | Val. Loss: 0.184 | Val. Accuracy:  96.380 | offline updates:  14.572 | online udpates:  85.428 |
| Epoch: 024 | Train Loss: 0.049 | Val. Loss: 0.168 | Val. Accuracy:  96.350 | offline updates:  14.514 | online udpates:  85.486 |
| Epoch: 025 | Train Loss: 0.046 | Val. Loss: 0.194 | Val. Accuracy:  96.400 | offline updates:  13.560 | online udpates:  86.440 |
