| Epoch: 001 | Train Loss: 0.486 | Val. Loss: 0.249 | Val. Accuracy:  92.050 | offline updates:  39.371 | online udpates:  60.629 |
| Epoch: 002 | Train Loss: 0.240 | Val. Loss: 0.244 | Val. Accuracy:  92.760 | offline updates:  27.057 | online udpates:  72.943 |
| Epoch: 003 | Train Loss: 0.206 | Val. Loss: 0.237 | Val. Accuracy:  93.480 | offline updates:  22.666 | online udpates:  77.334 |
| Epoch: 004 | Train Loss: 0.191 | Val. Loss: 0.246 | Val. Accuracy:  93.580 | offline updates:  23.508 | online udpates:  76.492 |
| Epoch: 005 | Train Loss: 0.182 | Val. Loss: 0.228 | Val. Accuracy:  94.580 | offline updates:  20.184 | online udpates:  79.816 |
| Epoch: 006 | Train Loss: 0.185 | Val. Loss: 0.259 | Val. Accuracy:  94.420 | offline updates:  16.909 | online udpates:  83.091 |
| Epoch: 007 | Train Loss: 0.186 | Val. Loss: 0.259 | Val. Accuracy:  93.720 | offline updates:  17.568 | online udpates:  82.432 |
| Epoch: 008 | Train Loss: 0.182 | Val. Loss: 0.215 | Val. Accuracy:  94.830 | offline updates:  16.951 | online udpates:  83.049 |
| Epoch: 009 | Train Loss: 0.178 | Val. Loss: 0.263 | Val. Accuracy:  93.880 | offline updates:  19.195 | online udpates:  80.805 |
| Epoch: 010 | Train Loss: 0.172 | Val. Loss: 0.240 | Val. Accuracy:  94.730 | offline updates:  17.535 | online udpates:  82.465 |
| Epoch: 011 | Train Loss: 0.176 | Val. Loss: 0.260 | Val. Accuracy:  94.510 | offline updates:  17.433 | online udpates:  82.567 |
| Epoch: 012 | Train Loss: 0.171 | Val. Loss: 0.243 | Val. Accuracy:  95.100 | offline updates:  20.353 | online udpates:  79.647 |
| Epoch: 013 | Train Loss: 0.165 | Val. Loss: 0.289 | Val. Accuracy:  94.680 | offline updates:  19.214 | online udpates:  80.786 |
| Epoch: 014 | Train Loss: 0.172 | Val. Loss: 0.255 | Val. Accuracy:  95.090 | offline updates:  18.268 | online udpates:  81.732 |
| Epoch: 015 | Train Loss: 0.169 | Val. Loss: 0.259 | Val. Accuracy:  94.710 | offline updates:  15.121 | online udpates:  84.879 |
| Epoch: 016 | Train Loss: 0.175 | Val. Loss: 0.327 | Val. Accuracy:  94.720 | offline updates:  15.038 | online udpates:  84.962 |
| Epoch: 017 | Train Loss: 0.163 | Val. Loss: 0.269 | Val. Accuracy:  94.760 | offline updates:  19.001 | online udpates:  80.999 |
| Epoch: 018 | Train Loss: 0.170 | Val. Loss: 0.344 | Val. Accuracy:  94.370 | offline updates:  16.127 | online udpates:  83.873 |
| Epoch: 019 | Train Loss: 0.173 | Val. Loss: 0.312 | Val. Accuracy:  94.430 | offline updates:  16.504 | online udpates:  83.496 |
| Epoch: 020 | Train Loss: 0.163 | Val. Loss: 0.322 | Val. Accuracy:  94.590 | offline updates:  19.395 | online udpates:  80.605 |
| Epoch: 021 | Train Loss: 0.183 | Val. Loss: 0.291 | Val. Accuracy:  95.010 | offline updates:  17.370 | online udpates:  82.630 |
| Epoch: 022 | Train Loss: 0.176 | Val. Loss: 0.285 | Val. Accuracy:  94.880 | offline updates:  15.584 | online udpates:  84.416 |
| Epoch: 023 | Train Loss: 0.169 | Val. Loss: 0.308 | Val. Accuracy:  94.530 | offline updates:  18.964 | online udpates:  81.036 |
| Epoch: 024 | Train Loss: 0.174 | Val. Loss: 0.305 | Val. Accuracy:  94.570 | offline updates:  20.750 | online udpates:  79.250 |
| Epoch: 025 | Train Loss: 0.172 | Val. Loss: 0.370 | Val. Accuracy:  94.050 | offline updates:  15.629 | online udpates:  84.371 |
