| Epoch: 001 | Train Loss: 1.765 | Val. Loss: 1.236 | Val. Accuracy:  76.260 | offline updates:  20.440 | online udpates:  79.560 |
| Epoch: 002 | Train Loss: 0.902 | Val. Loss: 0.617 | Val. Accuracy:  86.040 | offline updates:  23.732 | online udpates:  76.268 |
| Epoch: 003 | Train Loss: 0.512 | Val. Loss: 0.401 | Val. Accuracy:  89.370 | offline updates:  28.720 | online udpates:  71.280 |
| Epoch: 004 | Train Loss: 0.376 | Val. Loss: 0.324 | Val. Accuracy:  91.060 | offline updates:  27.655 | online udpates:  72.345 |
| Epoch: 005 | Train Loss: 0.320 | Val. Loss: 0.286 | Val. Accuracy:  91.830 | offline updates:  27.750 | online udpates:  72.250 |
| Epoch: 006 | Train Loss: 0.286 | Val. Loss: 0.263 | Val. Accuracy:  92.570 | offline updates:  30.584 | online udpates:  69.416 |
| Epoch: 007 | Train Loss: 0.259 | Val. Loss: 0.241 | Val. Accuracy:  93.140 | offline updates:  25.809 | online udpates:  74.191 |
| Epoch: 008 | Train Loss: 0.235 | Val. Loss: 0.221 | Val. Accuracy:  93.450 | offline updates:  28.779 | online udpates:  71.221 |
| Epoch: 009 | Train Loss: 0.217 | Val. Loss: 0.205 | Val. Accuracy:  94.060 | offline updates:  24.677 | online udpates:  75.323 |
| Epoch: 010 | Train Loss: 0.199 | Val. Loss: 0.190 | Val. Accuracy:  94.330 | offline updates:  25.627 | online udpates:  74.373 |
| Epoch: 011 | Train Loss: 0.183 | Val. Loss: 0.181 | Val. Accuracy:  94.530 | offline updates:  23.599 | online udpates:  76.401 |
| Epoch: 012 | Train Loss: 0.171 | Val. Loss: 0.169 | Val. Accuracy:  94.960 | offline updates:  22.890 | online udpates:  77.110 |
| Epoch: 013 | Train Loss: 0.159 | Val. Loss: 0.161 | Val. Accuracy:  95.150 | offline updates:  26.859 | online udpates:  73.141 |
| Epoch: 014 | Train Loss: 0.149 | Val. Loss: 0.151 | Val. Accuracy:  95.400 | offline updates:  22.813 | online udpates:  77.187 |
| Epoch: 015 | Train Loss: 0.140 | Val. Loss: 0.145 | Val. Accuracy:  95.670 | offline updates:  24.940 | online udpates:  75.060 |
| Epoch: 016 | Train Loss: 0.132 | Val. Loss: 0.138 | Val. Accuracy:  95.840 | offline updates:  24.521 | online udpates:  75.479 |
| Epoch: 017 | Train Loss: 0.125 | Val. Loss: 0.138 | Val. Accuracy:  95.860 | offline updates:  22.707 | online udpates:  77.293 |
| Epoch: 018 | Train Loss: 0.119 | Val. Loss: 0.133 | Val. Accuracy:  96.100 | offline updates:  23.420 | online udpates:  76.580 |
| Epoch: 019 | Train Loss: 0.113 | Val. Loss: 0.127 | Val. Accuracy:  96.070 | offline updates:  20.312 | online udpates:  79.688 |
| Epoch: 020 | Train Loss: 0.108 | Val. Loss: 0.127 | Val. Accuracy:  95.930 | offline updates:  21.450 | online udpates:  78.550 |
| Epoch: 021 | Train Loss: 0.104 | Val. Loss: 0.126 | Val. Accuracy:  96.190 | offline updates:  20.566 | online udpates:  79.434 |
| Epoch: 022 | Train Loss: 0.100 | Val. Loss: 0.120 | Val. Accuracy:  96.340 | offline updates:  25.118 | online udpates:  74.882 |
| Epoch: 023 | Train Loss: 0.096 | Val. Loss: 0.117 | Val. Accuracy:  96.390 | offline updates:  20.634 | online udpates:  79.366 |
| Epoch: 024 | Train Loss: 0.092 | Val. Loss: 0.118 | Val. Accuracy:  96.460 | offline updates:  21.599 | online udpates:  78.401 |
| Epoch: 025 | Train Loss: 0.089 | Val. Loss: 0.111 | Val. Accuracy:  96.580 | offline updates:  20.328 | online udpates:  79.672 |
