| Epoch: 001 | Train Loss: 4.923 | Val. Loss: 4.060 | Val. Accuracy:  70.260 | offline updates:  39.744 | online udpates:  60.256 |
| Epoch: 002 | Train Loss: 3.624 | Val. Loss: 2.692 | Val. Accuracy:  79.480 | offline updates:  11.482 | online udpates:  88.518 |
| Epoch: 003 | Train Loss: 2.405 | Val. Loss: 1.808 | Val. Accuracy:  83.450 | offline updates:  13.043 | online udpates:  86.957 |
| Epoch: 004 | Train Loss: 1.462 | Val. Loss: 0.733 | Val. Accuracy:  89.080 | offline updates:  16.913 | online udpates:  83.087 |
| Epoch: 005 | Train Loss: 0.855 | Val. Loss: 0.710 | Val. Accuracy:  82.730 | offline updates:  30.234 | online udpates:  69.766 |
| Epoch: 006 | Train Loss: 0.818 | Val. Loss: 0.996 | Val. Accuracy:  71.210 | offline updates:  33.399 | online udpates:  66.601 |
| Epoch: 007 | Train Loss: 1.190 | Val. Loss: 1.478 | Val. Accuracy:  53.550 | offline updates:  38.798 | online udpates:  61.202 |
| Epoch: 008 | Train Loss: 1.533 | Val. Loss: 1.549 | Val. Accuracy:  41.750 | offline updates:  41.170 | online udpates:  58.830 |
| Epoch: 009 | Train Loss: 1.654 | Val. Loss: 1.713 | Val. Accuracy:  48.440 | offline updates:  34.347 | online udpates:  65.653 |
| Epoch: 010 | Train Loss: 1.975 | Val. Loss: 2.255 | Val. Accuracy:  42.650 | offline updates:  35.571 | online udpates:  64.429 |
| Epoch: 011 | Train Loss: 1.902 | Val. Loss: 1.958 | Val. Accuracy:  33.130 | offline updates:  31.281 | online udpates:  68.719 |
| Epoch: 012 | Train Loss: 2.020 | Val. Loss: 2.065 | Val. Accuracy:  27.420 | offline updates:  32.581 | online udpates:  67.419 |
| Epoch: 013 | Train Loss: 2.167 | Val. Loss: 2.166 | Val. Accuracy:  29.360 | offline updates:  34.683 | online udpates:  65.317 |
| Epoch: 014 | Train Loss: 2.172 | Val. Loss: 2.727 | Val. Accuracy:  26.480 | offline updates:  20.479 | online udpates:  79.521 |
| Epoch: 015 | Train Loss: 2.219 | Val. Loss: 2.158 | Val. Accuracy:  32.200 | offline updates:  34.149 | online udpates:  65.851 |
| Epoch: 016 | Train Loss: 2.179 | Val. Loss: 2.042 | Val. Accuracy:  29.350 | offline updates:  42.842 | online udpates:  57.158 |
| Epoch: 017 | Train Loss: 2.209 | Val. Loss: 2.206 | Val. Accuracy:  30.190 | offline updates:  28.286 | online udpates:  71.714 |
| Epoch: 018 | Train Loss: 2.261 | Val. Loss: 2.323 | Val. Accuracy:  23.120 | offline updates:  31.366 | online udpates:  68.634 |
| Epoch: 019 | Train Loss: 2.302 | Val. Loss: 2.461 | Val. Accuracy:  23.700 | offline updates:  27.858 | online udpates:  72.142 |
| Epoch: 020 | Train Loss: 2.483 | Val. Loss: 2.825 | Val. Accuracy:  21.120 | offline updates:  24.431 | online udpates:  75.569 |
| Epoch: 021 | Train Loss: 2.349 | Val. Loss: 3.224 | Val. Accuracy:  26.760 | offline updates:  36.353 | online udpates:  63.647 |
| Epoch: 022 | Train Loss: 2.412 | Val. Loss: 2.782 | Val. Accuracy:  24.070 | offline updates:  48.186 | online udpates:  51.814 |
| Epoch: 023 | Train Loss: 2.475 | Val. Loss: 2.671 | Val. Accuracy:  21.160 | offline updates:  39.800 | online udpates:  60.200 |
| Epoch: 024 | Train Loss: 2.541 | Val. Loss: 2.432 | Val. Accuracy:  18.280 | offline updates:  41.810 | online udpates:  58.190 |
| Epoch: 025 | Train Loss: 2.680 | Val. Loss: 2.405 | Val. Accuracy:  17.190 | offline updates:  38.347 | online udpates:  61.653 |
