| Epoch: 001 | Train Loss: 8.474 | Val. Loss: 10.709 | Val. Accuracy:  10.370 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 002 | Train Loss: 10.757 | Val. Loss: 8.568 | Val. Accuracy:   9.790 | offline updates:   0.439 | online udpates:  99.561 |
| Epoch: 003 | Train Loss: 11.096 | Val. Loss: 10.346 | Val. Accuracy:  10.290 | offline updates:   0.263 | online udpates:  99.737 |
| Epoch: 004 | Train Loss: 11.105 | Val. Loss: 12.236 | Val. Accuracy:   8.920 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 005 | Train Loss: 10.989 | Val. Loss: 11.665 | Val. Accuracy:  10.280 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 006 | Train Loss: 11.134 | Val. Loss: 8.840 | Val. Accuracy:  10.100 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 007 | Train Loss: 11.206 | Val. Loss: 14.853 | Val. Accuracy:  10.090 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 008 | Train Loss: 11.028 | Val. Loss: 14.360 | Val. Accuracy:   9.580 | offline updates:  28.302 | online udpates:  71.698 |
| Epoch: 009 | Train Loss: 11.318 | Val. Loss: 9.864 | Val. Accuracy:   8.920 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 010 | Train Loss: 10.975 | Val. Loss: 8.153 | Val. Accuracy:   8.920 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 011 | Train Loss: 11.009 | Val. Loss: 12.818 | Val. Accuracy:   9.800 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 012 | Train Loss: 11.009 | Val. Loss: 10.718 | Val. Accuracy:  10.280 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 013 | Train Loss: 10.861 | Val. Loss: 11.040 | Val. Accuracy:   9.580 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 014 | Train Loss: 11.077 | Val. Loss: 9.294 | Val. Accuracy:   9.740 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 015 | Train Loss: 10.997 | Val. Loss: 12.616 | Val. Accuracy:  10.100 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 016 | Train Loss: 10.955 | Val. Loss: 13.560 | Val. Accuracy:   8.920 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 017 | Train Loss: 11.044 | Val. Loss: 8.586 | Val. Accuracy:   9.820 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 018 | Train Loss: 11.176 | Val. Loss: 7.408 | Val. Accuracy:  11.350 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 019 | Train Loss: 10.848 | Val. Loss: 8.323 | Val. Accuracy:   9.800 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 020 | Train Loss: 11.070 | Val. Loss: 12.070 | Val. Accuracy:  11.350 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 021 | Train Loss: 11.107 | Val. Loss: 10.257 | Val. Accuracy:  10.090 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 022 | Train Loss: 11.074 | Val. Loss: 8.084 | Val. Accuracy:  10.280 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 023 | Train Loss: 11.205 | Val. Loss: 7.812 | Val. Accuracy:  11.350 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 024 | Train Loss: 10.863 | Val. Loss: 13.650 | Val. Accuracy:  10.320 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 025 | Train Loss: 11.051 | Val. Loss: 12.273 | Val. Accuracy:   9.820 | offline updates:  75.000 | online udpates:  25.000 |
