| Epoch: 001 | Train Loss: 1.821 | Val. Loss: 1.302 | Val. Accuracy:  71.750 | offline updates:   0.043 | online udpates:  99.957 |
| Epoch: 002 | Train Loss: 0.945 | Val. Loss: 0.651 | Val. Accuracy:  84.370 | offline updates:   0.382 | online udpates:  99.618 |
| Epoch: 003 | Train Loss: 0.536 | Val. Loss: 0.422 | Val. Accuracy:  88.860 | offline updates:   0.893 | online udpates:  99.107 |
| Epoch: 004 | Train Loss: 0.398 | Val. Loss: 0.347 | Val. Accuracy:  90.370 | offline updates:   0.076 | online udpates:  99.924 |
| Epoch: 005 | Train Loss: 0.346 | Val. Loss: 0.317 | Val. Accuracy:  91.060 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 006 | Train Loss: 0.320 | Val. Loss: 0.295 | Val. Accuracy:  91.730 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 007 | Train Loss: 0.300 | Val. Loss: 0.278 | Val. Accuracy:  92.100 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 008 | Train Loss: 0.285 | Val. Loss: 0.271 | Val. Accuracy:  92.290 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 009 | Train Loss: 0.272 | Val. Loss: 0.259 | Val. Accuracy:  92.670 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 010 | Train Loss: 0.260 | Val. Loss: 0.252 | Val. Accuracy:  92.620 | offline updates:   0.026 | online udpates:  99.974 |
| Epoch: 011 | Train Loss: 0.249 | Val. Loss: 0.237 | Val. Accuracy:  93.320 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 012 | Train Loss: 0.238 | Val. Loss: 0.232 | Val. Accuracy:  93.260 | offline updates:   0.223 | online udpates:  99.777 |
| Epoch: 013 | Train Loss: 0.228 | Val. Loss: 0.223 | Val. Accuracy:  93.420 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 014 | Train Loss: 0.218 | Val. Loss: 0.214 | Val. Accuracy:  93.830 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 015 | Train Loss: 0.209 | Val. Loss: 0.207 | Val. Accuracy:  93.900 | offline updates:   0.164 | online udpates:  99.836 |
| Epoch: 016 | Train Loss: 0.202 | Val. Loss: 0.202 | Val. Accuracy:  94.050 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 017 | Train Loss: 0.195 | Val. Loss: 0.193 | Val. Accuracy:  94.230 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 018 | Train Loss: 0.189 | Val. Loss: 0.190 | Val. Accuracy:  94.350 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 019 | Train Loss: 0.182 | Val. Loss: 0.184 | Val. Accuracy:  94.470 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 020 | Train Loss: 0.176 | Val. Loss: 0.176 | Val. Accuracy:  94.680 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 021 | Train Loss: 0.171 | Val. Loss: 0.173 | Val. Accuracy:  94.760 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 022 | Train Loss: 0.165 | Val. Loss: 0.168 | Val. Accuracy:  94.910 | offline updates:   0.069 | online udpates:  99.931 |
| Epoch: 023 | Train Loss: 0.160 | Val. Loss: 0.163 | Val. Accuracy:  95.030 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 024 | Train Loss: 0.155 | Val. Loss: 0.159 | Val. Accuracy:  95.100 | offline updates:   0.249 | online udpates:  99.751 |
| Epoch: 025 | Train Loss: 0.151 | Val. Loss: 0.152 | Val. Accuracy:  95.310 | offline updates:   0.472 | online udpates:  99.528 |
