| Epoch: 001 | Train Loss: 0.663 | Val. Loss: 0.331 | Val. Accuracy:  89.760 | offline updates:   0.136 | online udpates:  99.864 |
| Epoch: 002 | Train Loss: 0.289 | Val. Loss: 0.234 | Val. Accuracy:  92.820 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 003 | Train Loss: 0.210 | Val. Loss: 0.177 | Val. Accuracy:  94.570 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 004 | Train Loss: 0.166 | Val. Loss: 0.174 | Val. Accuracy:  94.360 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 005 | Train Loss: 0.146 | Val. Loss: 0.127 | Val. Accuracy:  96.020 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 006 | Train Loss: 0.131 | Val. Loss: 0.131 | Val. Accuracy:  95.950 | offline updates:   0.021 | online udpates:  99.979 |
| Epoch: 007 | Train Loss: 0.119 | Val. Loss: 0.129 | Val. Accuracy:  96.130 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 008 | Train Loss: 0.112 | Val. Loss: 0.140 | Val. Accuracy:  95.900 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 009 | Train Loss: 0.103 | Val. Loss: 0.139 | Val. Accuracy:  96.150 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 010 | Train Loss: 0.098 | Val. Loss: 0.135 | Val. Accuracy:  96.170 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 011 | Train Loss: 0.093 | Val. Loss: 0.136 | Val. Accuracy:  96.180 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 012 | Train Loss: 0.088 | Val. Loss: 0.122 | Val. Accuracy:  96.480 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 013 | Train Loss: 0.084 | Val. Loss: 0.126 | Val. Accuracy:  96.400 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 014 | Train Loss: 0.083 | Val. Loss: 0.130 | Val. Accuracy:  96.420 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 015 | Train Loss: 0.078 | Val. Loss: 0.138 | Val. Accuracy:  96.410 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 016 | Train Loss: 0.077 | Val. Loss: 0.141 | Val. Accuracy:  96.320 | offline updates:   0.194 | online udpates:  99.806 |
| Epoch: 017 | Train Loss: 0.072 | Val. Loss: 0.134 | Val. Accuracy:  96.570 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 018 | Train Loss: 0.071 | Val. Loss: 0.165 | Val. Accuracy:  95.710 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 019 | Train Loss: 0.069 | Val. Loss: 0.131 | Val. Accuracy:  96.800 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 020 | Train Loss: 0.065 | Val. Loss: 0.144 | Val. Accuracy:  96.420 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 021 | Train Loss: 0.064 | Val. Loss: 0.172 | Val. Accuracy:  96.130 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 022 | Train Loss: 0.064 | Val. Loss: 0.158 | Val. Accuracy:  96.360 | offline updates:   0.023 | online udpates:  99.977 |
| Epoch: 023 | Train Loss: 0.062 | Val. Loss: 0.160 | Val. Accuracy:  96.140 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 024 | Train Loss: 0.059 | Val. Loss: 0.153 | Val. Accuracy:  96.670 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 025 | Train Loss: 0.058 | Val. Loss: 0.179 | Val. Accuracy:  95.840 | offline updates:   0.004 | online udpates:  99.996 |
