| Epoch: 001 | Train Loss: 0.661 | Val. Loss: 0.331 | Val. Accuracy:  89.760 | offline updates:   0.136 | online udpates:  99.864 |
| Epoch: 002 | Train Loss: 0.290 | Val. Loss: 0.235 | Val. Accuracy:  92.730 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 003 | Train Loss: 0.211 | Val. Loss: 0.179 | Val. Accuracy:  94.500 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 004 | Train Loss: 0.168 | Val. Loss: 0.173 | Val. Accuracy:  94.500 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 005 | Train Loss: 0.145 | Val. Loss: 0.129 | Val. Accuracy:  96.030 | offline updates:   0.345 | online udpates:  99.655 |
| Epoch: 006 | Train Loss: 0.131 | Val. Loss: 0.126 | Val. Accuracy:  96.090 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 007 | Train Loss: 0.119 | Val. Loss: 0.131 | Val. Accuracy:  96.090 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 008 | Train Loss: 0.111 | Val. Loss: 0.125 | Val. Accuracy:  96.330 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 009 | Train Loss: 0.104 | Val. Loss: 0.118 | Val. Accuracy:  96.660 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 010 | Train Loss: 0.099 | Val. Loss: 0.131 | Val. Accuracy:  96.120 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 011 | Train Loss: 0.092 | Val. Loss: 0.134 | Val. Accuracy:  96.180 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 012 | Train Loss: 0.088 | Val. Loss: 0.120 | Val. Accuracy:  96.530 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 013 | Train Loss: 0.085 | Val. Loss: 0.122 | Val. Accuracy:  96.420 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 014 | Train Loss: 0.084 | Val. Loss: 0.139 | Val. Accuracy:  96.320 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 015 | Train Loss: 0.079 | Val. Loss: 0.136 | Val. Accuracy:  96.340 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 016 | Train Loss: 0.075 | Val. Loss: 0.142 | Val. Accuracy:  96.260 | offline updates:   0.006 | online udpates:  99.994 |
| Epoch: 017 | Train Loss: 0.073 | Val. Loss: 0.131 | Val. Accuracy:  96.410 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 018 | Train Loss: 0.071 | Val. Loss: 0.155 | Val. Accuracy:  96.120 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 019 | Train Loss: 0.070 | Val. Loss: 0.151 | Val. Accuracy:  96.490 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 020 | Train Loss: 0.068 | Val. Loss: 0.148 | Val. Accuracy:  96.070 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 021 | Train Loss: 0.065 | Val. Loss: 0.163 | Val. Accuracy:  96.190 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 022 | Train Loss: 0.063 | Val. Loss: 0.162 | Val. Accuracy:  96.310 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 023 | Train Loss: 0.064 | Val. Loss: 0.158 | Val. Accuracy:  96.240 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 024 | Train Loss: 0.059 | Val. Loss: 0.152 | Val. Accuracy:  96.730 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 025 | Train Loss: 0.060 | Val. Loss: 0.171 | Val. Accuracy:  96.120 | offline updates:   0.000 | online udpates: 100.000 |
